State/UT,No. of Companies - Public,Authorized Capital - Public,No. of Companies - Private,Authorized Capital - Private,No. of Companies - Total,Authorized Capital - Total
Andhra Pradesh,3942,199444.03,55721,95290.49,59663,294734.52
Arunachal Pradesh,16,889.85,156,208.74,172,1098.59
Assam,498,17108.29,4394,4192.81,4892,21301.1
Bihar,594,5871.69,10469,6118.87,11063,11990.56
Chhatisgarh,468,32154.54,5407,5368.12,5875,37522.66
Goa,163,7150.71,4590,4869.6,4753,12020.31
Gujarat,3920,243099.36,46194,64097.31,50114,307196.67
Haryana,969,66102.49,17849,34586.05,18818,100688.54
Himachal Pradesh,218,24681.37,2667,4542.08,2885,29223.45
Jammu & Kashmir,121,698.76,2027,6347.67,2148,7046.43
Jharkhand,427,17018.49,5360,7870.45,5787,24888.94
Karnataka,1978,132853.64,47389,78227.7,49367,211081.34
Kerala,1310,23782.14,22246,17262.7,23556,41044.84
Madhya Pradesh,1499,54007.1,18145,13553.35,19644,67560.45
Maharashtra,11870,713497.19,176898,355038.52,188768,1068535.71
Manipur,13,329.35,130,121.35,143,450.7
Meghalaya,109,9193.27,405,763.15,514,9956.42
Mizoram,7,99.1,16,34.61,23,133.71
Nagaland,15,223.16,125,161.35,140,384.51
Odisha,1039,27918.31,10146,13218.4,11185,41136.71
Punjab,1757,70558.68,13067,7915.28,14824,78473.96
Rajasthan,1494,57701.48,32222,9896.49,33716,67597.97
Tamil Nadu,4990,188009.52,60296,112752.92,65286,300762.44
Tripura,25,3231.64,165,218.2,190,3449.84
Uttar Pradesh,3017,168993.26,39596,15708.26,42613,184701.52
Uttarakhand,216,9865.19,3060,1797.36,3276,11662.55
West Bengal,10671,151137.03,123621,100622.51,134292,251759.54
Andaman and Nicobar Islands,4,9.05,166,98.86,170,107.91
Chandigarh,698,4945.82,6592,3348.17,7290,8293.99
Dadra and Nagar Haveli,61,5441.9,265,357.02,326,5798.92
Daman & Diu,42,644.96,147,903.81,189,1548.77
Delhi,11791,451292.07,177650,330768.94,189441,782061.01
Lakshadweep,0,0,10,10.26,10,10.26
Puducherry,61,451.55,1239,2857.17,1300,3308.72
Total,64003,2688404.99,888430,1299128.57,952433,3987533.56
